id,rotulo,categoria,aliases
skill-python,Python,programacao,"python|python3"
skill-sql,SQL,banco_de_dados,"sql|structured query language"
skill-ml,Aprendizado de máquina,dados_ia,"machine learning|aprendizado de maquina|modelagem preditiva|modelos preditivos"
skill-dados,Análise de dados,dados_ia,"data analysis|analise de dados|analisar dados|analytics"
skill-estatistica,Estatística,dados_ia,"statistics|estatistica|analise estatistica"
skill-pandas,Pandas,dados_ia,"pandas"
skill-numpy,NumPy,dados_ia,"numpy"
skill-sklearn,Scikit-learn,dados_ia,"scikit-learn|sklearn"
skill-pytorch,PyTorch,dados_ia,"pytorch|torch"
skill-tensorflow,TensorFlow,dados_ia,"tensorflow|keras"
skill-powerbi,Power BI,visualizacao,"power bi|powerbi|painel de business intelligence"
skill-tableau,Tableau,visualizacao,"tableau"
skill-git,Git,devops,"git|controle de versao|version control"
skill-github,GitHub,devops,"github"
skill-docker,Docker,devops,"docker|conteinerizacao|containers"
skill-aws,AWS,nuvem,"aws|amazon web services"
skill-api,APIs,backend,"api|apis|application programming interface"
skill-rest,API REST,backend,"rest api|api rest|restful api|servicos web|web services"
skill-postgres,PostgreSQL,banco_de_dados,"postgresql|postgres"
skill-comunicacao,Comunicação,comportamental,"comunicacao|communication|apresentacao"
skill-equipe,Trabalho em equipe,comportamental,"trabalho em equipe|teamwork|colaboracao|collaboration"
skill-problemas,Resolução de problemas,comportamental,"resolucao de problemas|problem solving|problem-solving"
skill-ingles,Inglês,idiomas,"ingles|english"
